Source:	/Users/dcollens/Documents/depot/main/z80/z80.sch
Date:	Tuesday, June 05, 2018 'amt' 10:21:38 am
Tool:	Eeschema 4.0.7
Component Count:	93
Ref	Value	Part	Footprint	Description	Vendor
AFF1	LTD-6940HR	headquarters:LTD-6940HR	z80_footprints:LTD-6940HR	DISPLAY 7 SEGMENTS common K	
C1	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C2	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C3	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C4	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C5	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C6	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C7	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C8	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C9	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C10	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C11	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C12	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C13	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C14	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C15	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C16	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C17	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C18	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C19	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C20	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C21	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C22	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C23	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C24	10uF	device:CP1_Small	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Polarised capacitor	
C25	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C26	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C27	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C28	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
C29	0.1uF	device:C	Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm	Unpolarized capacitor	
D1	Green	device:LED_Small_ALT	LEDs:LED_D5.0mm	LED, small symbol, alternativ symbol	
