"Source:","/Users/dcollens/Documents/zed-80/kicad/zed-80.sch"
"Date:","Monday, April 22, 2019 at 11:14:17 am"
"Tool:","Eeschema (5.1.0-0)"
"Generator:","/Applications/KiCad/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","138"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","MP","Package"
"","","AFF1","LTD-6940HR","headquarters:LTD-6940HR","z80_footprints:LTD-6940HR","https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTD-6000_Series.pdf","","",""
"","","C1","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C2","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C3","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C4","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C5","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C6","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C7","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C8","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C9","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C10","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C11","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C12","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C13","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C14","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C15","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C16","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C17","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C18","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C19","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C20","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C21","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C22","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C23","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C25","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C26","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C27","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C28","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C29","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C30","4.7uF","Device:C","Capacitors_SMD:C_0805_HandSoldering","","","",""
"","","C31","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C32","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C33","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C34","10uF","Device:CP1_Small","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm","","","",""
"","","C35","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C36","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C37","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C38","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C39","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C40","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C41","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","",""
"","","C42","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
"","","C43","0.1uF","Device:C","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","",""
