Reference, Value, Footprint, Datasheet, Description
"U1","Z80CPU","Housings_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"X1","ACH10MHZ","Oscillators:Oscillator_DIP-8","http://www.abracon.com/Oscillators/ACH.pdf"
"SW1","KS01Q","z80_footprints:KS-01Q-02",""
"U2","74AHC14","Housings_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/sn74ahc14.pdf"
"C1","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"R1","1M","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"C2","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C3","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U3","SST39SF010","Housings_DIP:DIP-32_W15.24mm_Socket_LongPads",""
"C4","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U4","74AHC32","Housings_DIP:DIP-14_W7.62mm_LongPads",""
"C5","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U5","AS6C1008-55PCN","Housings_DIP:DIP-32_W15.24mm_Socket_LongPads","Alliance Memory","AS6C1008 Series 1-Mbit 128Kx8 55ns CMOS Static RAM"
"C6","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C7","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U6","74AHC138","Housings_DIP:DIP-16_W7.62mm_LongPads",""
"D1","Green","LEDs:LED_D5.0mm",""
"R18","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"J6","PWR","Pin_Headers:Pin_Header_Straight_2x01_Pitch2.54mm",""
"C24","10uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"R29","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"C26","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"J5","USB_B","z80_footprints:USB_B_E8144-B02022-L",""
"J3","Conn_02x20_Odd_Even","Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm",""
"U13","74AHC541","Housings_DIP:DIP-20_W7.62mm_LongPads",""
"JOY1","DB9-M","z80_footprints:L717SDE09P1ACH",""
"R2","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R4","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R6","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R8","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R10","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"U14","74AHC541","Housings_DIP:DIP-20_W7.62mm_LongPads",""
"JOY2","DB9-M","z80_footprints:L717SDE09P1ACH",""
"R3","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R5","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R7","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R9","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R11","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"C8","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C9","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U7","74AC574","Housings_DIP:DIP-20_W7.62mm_LongPads",""
"R12","220R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
